Country,Station_id,Station_name,Station_lat,Station_lon,Station_source,Outlet_lat,Outlet_lon,Outlet_source,Mapped_lat,Mapped_lon,Manual_lat,Manual_lon,Manual_outlet_location,Basin_area_km2,Ref_area_1_src,Ref_area_1_km2,Ref_area_2_src,Ref_area_2_km2,Ref_shape,Ref_shape_source,Ref_shape_area_km2,Ref_and_new_shape_fractional_overlap,Manual_delineation_notes,Delineation_confidence,Delineation_notes,iv_flow_obs_availability_start,iv_flow_obs_availability_end,flow_obs_missing_hourly,dv_flow_obs_availability_start,dv_flow_obs_availability_end,flow_obs_missing_daily,dv_flow_obs_timezone,is_headwater,sub_basins,iv_flow_obs_timezone,subset_category
CAN,01AD002,SAINT JOHN RIVER AT FORT KENT,47.25806,-68.59583,WSC 20222 data set,47.25787655,-68.59491873,WSC 20222 data set,47.25731224,-68.59435442,-999.0,-999.0,,14691.61894,HYDAT gross drainage area,14700.0,HYDAT effective drainage area,,yes,WSC 2022 data set,14677.4,0.993791572,,high,,,,-1,1950-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,319,,macro-scale
CAN,01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,47.20661,-68.95694,WSC 20222 data set,47.20601615,-68.95672679,WSC 20222 data set,47.20589468,-68.95660532,-999.0,-999.0,,1343.736223,HYDAT gross drainage area,1350.0,HYDAT effective drainage area,,yes,WSC 2022 data set,1348.3,0.985512695,,high,,2021-11-20 15:50:00,2023-01-02 19:55:00,0,1951-10-01 00:00:00,2020-12-31 00:00:00,0,AST,0,31,,macro-scale
CAN,01AE001,FISH RIVER NEAR FORT KENT,47.2375,-68.58278,WSC 20222 data set,47.2374384,-68.58199136,WSC 20222 data set,47.2374384,-68.58166667,-999.0,-999.0,,2249.524543,HYDAT gross drainage area,2260.0,HYDAT effective drainage area,,yes,WSC 2022 data set,2238.95,0.979373958,,high,,,,-1,1981-01-01 00:00:00,2020-12-31 00:00:00,0,EST,0,51,,macro-scale
CAN,01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,47.24697,-67.92128,WSC 20222 data set,47.24690817,-67.92127056,WSC 20222 data set,47.24666667,-67.92127056,-999.0,-999.0,,323.8344727,HYDAT gross drainage area,339.0,HYDAT effective drainage area,,yes,WSC 2022 data set,325.196,0.977786892,,high,,2021-11-20 16:20:00,2023-01-02 19:55:00,2,1977-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,9,,meso-scale
CAN,01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,47.45783,-68.35683,WSC 20222 data set,47.45762152,-68.35671032,WSC 20222 data set,47.45762152,-68.35666667,-999.0,-999.0,,183.6754339,HYDAT gross drainage area,182.0,HYDAT effective drainage area,,yes,WSC 2022 data set,183.43,0.986568837,,high,,2021-11-20 16:40:00,2022-12-09 23:55:00,1148,1991-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,3,,meso-scale
CAN,01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,46.21622,-67.72794,WSC 20222 data set,46.21635228,-67.72783717,WSC 20222 data set,46.21626139,-67.72792806,-999.0,-999.0,,1213.320279,HYDAT gross drainage area,1210.0,HYDAT effective drainage area,,yes,WSC 2022 data set,1210.06,0.97858705,,high,,2021-11-20 15:10:00,2022-12-09 23:55:00,0,1967-12-01 00:00:00,2020-12-31 00:00:00,14,AST,0,25,,macro-scale
CAN,01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,46.43836,-67.73844,WSC 20222 data set,46.43850868,-67.73839154,WSC 20222 data set,46.43833333,-67.73839154,-999.0,-999.0,,490.5678534,HYDAT gross drainage area,484.0,HYDAT effective drainage area,,yes,WSC 2022 data set,487.32,0.973647992,,high,,2021-11-20 15:10:00,2023-01-02 19:55:00,0,1967-11-01 00:00:00,2019-12-31 00:00:00,20,AST,0,15,,meso-scale
CAN,01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,46.34089,-67.46511,WSC 20222 data set,46.34079328,-67.46518666,WSC 20222 data set,46.34071998,-67.46511335,-999.0,-999.0,,348.3235362,HYDAT gross drainage area,350.0,HYDAT effective drainage area,,yes,WSC 2022 data set,349.503,0.974516367,,high,,2021-11-20 15:10:00,2022-12-09 23:55:00,0,1973-06-01 00:00:00,2020-12-31 00:00:00,12,AST,0,3,,meso-scale
CAN,01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,45.94353,-67.32036,WSC 20222 data set,45.94275492,-67.32046286,WSC 20222 data set,45.94285889,-67.32035889,-999.0,-999.0,,232.8531292,HYDAT gross drainage area,234.0,HYDAT effective drainage area,,yes,WSC 2022 data set,233.811,0.981045703,,high,,2021-11-20 15:50:00,2023-01-02 19:55:00,0,1950-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,5,,meso-scale
CAN,01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,46.08281,-66.73303,WSC 20222 data set,46.08283117,-66.73320381,WSC 20222 data set,46.04583333,-66.69833333,46.08283117,-66.73320381,yes,4.804270759,HYDAT gross drainage area,5.699999809,HYDAT effective drainage area,,yes,WSC 2022 data set,5.1057,0.85545853,gauge is subbasin of MERIT headwater basin,medium,"Very flat region, difference with reference shape likely explained by DEM differences",2021-11-20 15:20:00,2022-12-09 23:55:00,3040,1966-11-01 00:00:00,2019-12-31 00:00:00,0,AST,1,1,,headwater
