Country,Station_id,Missing,Reason
USA,02342933,iv,No Instantaneous Values of discharge available
USA,02464360,iv,No Instantaneous Values of discharge available
USA,11230500,iv,No Instantaneous Values of discharge available
USA,11237500,iv,No Instantaneous Values of discharge available
CAN,01AD002,iv,No real-time discharge observations available
CAN,01AE001,iv,No real-time discharge observations available
CAN,01BD008,iv,No real-time discharge observations available
CAN,01BG005,iv,No real-time discharge observations available
CAN,01BG008,iv,No real-time discharge observations available
CAN,01BG009,iv,No real-time discharge observations available
CAN,01BH005,iv,No real-time discharge observations available
CAN,01BH010,iv,No real-time discharge observations available
CAN,02BF005,iv,No real-time discharge observations available
CAN,02BF006,iv,No real-time discharge observations available
CAN,02BF007,iv,No real-time discharge observations available
CAN,02BF008,iv,No real-time discharge observations available
CAN,02BF009,iv,No real-time discharge observations available
CAN,02BF012,iv,No real-time discharge observations available
CAN,02BF013,iv,No real-time discharge observations available
CAN,02DB007,iv,No real-time discharge observations available
CAN,02ED014,iv,No real-time discharge observations available
CAN,02FD001,iv,No real-time discharge observations available
CAN,02FF004,iv,No real-time discharge observations available
CAN,02GB007,iv,No real-time discharge observations available
CAN,02GH003,iv,No real-time discharge observations available
CAN,02HG001,iv,No real-time discharge observations available
CAN,02JB013,iv,No real-time discharge observations available
CAN,02LB017,iv,No real-time discharge observations available
CAN,02LC027,iv,No real-time discharge observations available
CAN,02LC043,iv,No real-time discharge observations available
CAN,02LD005,iv,No real-time discharge observations available
CAN,02LG005,iv,No real-time discharge observations available
CAN,02NE011,iv,No real-time discharge observations available
CAN,02NF003,iv,No real-time discharge observations available
CAN,02OA057,iv,No real-time discharge observations available
CAN,02OB032,iv,No real-time discharge observations available
CAN,02OB037,iv,No real-time discharge observations available
CAN,02OD003,iv,No real-time discharge observations available
CAN,02OE027,iv,No real-time discharge observations available
CAN,02OE032,iv,No real-time discharge observations available
CAN,02OG026,iv,No real-time discharge observations available
CAN,02OJ024,iv,No real-time discharge observations available
CAN,02OJ026,iv,No real-time discharge observations available
CAN,02PA007,iv,No real-time discharge observations available
CAN,02PB006,iv,No real-time discharge observations available
CAN,02PC018,iv,No real-time discharge observations available
CAN,02PC019,iv,No real-time discharge observations available
CAN,02PD002,iv,No real-time discharge observations available
CAN,02PD004,iv,No real-time discharge observations available
CAN,02PD012,iv,No real-time discharge observations available
CAN,02PD013,iv,No real-time discharge observations available
CAN,02PD014,iv,No real-time discharge observations available
CAN,02PD015,iv,No real-time discharge observations available
CAN,02PE014,iv,No real-time discharge observations available
CAN,02PG006,iv,No real-time discharge observations available
CAN,02PG022,iv,No real-time discharge observations available
CAN,02PJ007,iv,No real-time discharge observations available
CAN,02PJ030,iv,No real-time discharge observations available
CAN,02PL005,iv,No real-time discharge observations available
CAN,02QA002,iv,No real-time discharge observations available
CAN,02QC009,iv,No real-time discharge observations available
CAN,02RC011,iv,No real-time discharge observations available
CAN,02RD003,iv,No real-time discharge observations available
CAN,02RF001,iv,No real-time discharge observations available
CAN,02RF009,iv,No real-time discharge observations available
CAN,02RG005,iv,No real-time discharge observations available
CAN,02RH027,iv,No real-time discharge observations available
CAN,02RH035,iv,No real-time discharge observations available
CAN,02RH045,iv,No real-time discharge observations available
CAN,02UA003,iv,No real-time discharge observations available
CAN,02UC002,iv,No real-time discharge observations available
CAN,02VB004,iv,No real-time discharge observations available
CAN,02WB003,iv,No real-time discharge observations available
CAN,02XC001,iv,No real-time discharge observations available
CAN,02YL011,iv,No real-time discharge observations available
CAN,02ZK003,iv,No real-time discharge observations available
CAN,03AB002,iv,No real-time discharge observations available
CAN,03AC004,iv,No real-time discharge observations available
CAN,03BD002,iv,No real-time discharge observations available
CAN,03BF001,iv,No real-time discharge observations available
CAN,03ED001,iv,No real-time discharge observations available
CAN,03FA003,iv,No real-time discharge observations available
CAN,03KC004,iv,No real-time discharge observations available
CAN,03MB002,iv,No real-time discharge observations available
CAN,03MD001,iv,No real-time discharge observations available
CAN,03OC003,iv,No real-time discharge observations available
CAN,03OE010,iv,No real-time discharge observations available
CAN,04NA001,iv,No real-time discharge observations available
CAN,05AA909,iv,No real-time discharge observations available
CAN,05AB013,iv,No real-time discharge observations available
CAN,05DA010,iv,No real-time discharge observations available
CAN,05DC006,iv,No real-time discharge observations available
CAN,05DC012,iv,No real-time discharge observations available
CAN,05EB902,iv,No real-time discharge observations available
CAN,05EC002,iv,No real-time discharge observations available
CAN,05EF004,iv,No real-time discharge observations available
CAN,05EF005,iv,No real-time discharge observations available
CAN,05EF006,iv,No real-time discharge observations available
CAN,05EG004,iv,No real-time discharge observations available
CAN,05FF003,iv,No real-time discharge observations available
CAN,05GB004,iv,No real-time discharge observations available
CAN,05GC007,iv,No real-time discharge observations available
CAN,05GD002,iv,No real-time discharge observations available
CAN,05GF001,iv,No real-time discharge observations available
CAN,05GF002,iv,No real-time discharge observations available
CAN,05GG010,iv,No real-time discharge observations available
CAN,05HA015,iv,No real-time discharge observations available
CAN,05HE001,iv,No real-time discharge observations available
CAN,05HH002,iv,No real-time discharge observations available
CAN,05HH003,iv,No real-time discharge observations available
CAN,05JC007,iv,No real-time discharge observations available
CAN,05JF014,iv,No real-time discharge observations available
CAN,05JG001,iv,No real-time discharge observations available
CAN,05JH005,iv,No real-time discharge observations available
CAN,05JK008,iv,No real-time discharge observations available
CAN,05KB003,iv,No real-time discharge observations available
CAN,05KB006,iv,No real-time discharge observations available
CAN,05KB011,iv,No real-time discharge observations available
CAN,05KC001,iv,No real-time discharge observations available
CAN,05KE005,iv,No real-time discharge observations available
CAN,05KE007,iv,No real-time discharge observations available
CAN,05KF001,iv,No real-time discharge observations available
CAN,05KG007,iv,No real-time discharge observations available
CAN,05KJ014,iv,No real-time discharge observations available
CAN,05LA003,iv,No real-time discharge observations available
